sport_id,sport_name,season
1,가라테,하계
2,골프,하계
3,근대5종,하계
4,기계체조,하계
5,농구,하계
6,다이빙,하계
7,라켓,하계
8,라크로스,하계
9,럭비,하계
10,레슬링,하계
11,로크,하계
12,모터보트,하계
13,배구,하계
14,배드민턴,하계
15,복싱,하계
16,비치발리볼,하계
17,사격,하계
18,사이클,하계
19,서핑,하계
20,소프트볼,하계
21,수구,하계
22,수영,하계
23,스케이트보딩,하계
24,스포츠클라이밍,하계
25,승마,하계
26,싱크로나이즈,하계
27,야구,하계
28,양궁,하계
29,역도,하계
30,요트,하계
31,유도,하계
32,육상,하계
33,조정,하계
34,주드폼,하계
35,줄다리기,하계
36,체조,하계
37,축구,하계
38,카누,하계
39,크로케,하계
40,크리켓,하계
41,탁구,하계
42,태권도,하계
43,테니스,하계
44,트라이애슬론,하계
45,펜싱,하계
46,펠로타,하계
47,폴로,하계
48,하키,하계
49,핸드볼,하계
50,노르딕복합,동계
51,루지,동계
52,밀리터리패트롤,동계
53,바이애슬론,동계
54,봅슬레이,동계
55,쇼트트랙,동계
56,스노보드,동계
57,스켈레톤,동계
58,스키점프,동계
59,스피드스케이팅,동계
60,아이스하키,동계
61,알파인스키,동계
62,컬링,동계
63,크로스컨트리,동계
64,프리스타일,동계
65,피겨스케이팅,동계
66,필드하키,동계